claim_id,claim_type,manuscript_section,in_abstract,in_results,in_discussion,in_conclusion,figure_support,table_support
C1,PRIMARY,3.3,yes,yes,yes,yes,Figure 1;Figure 2,Table 2;Table 4
C2,ROBUSTNESS,3.4,yes,yes,yes,yes,Figure 3,Table 3
C3,NEGATIVE,3.2,yes,yes,yes,yes,Figure 1;Figure 2,Table 2
C4,NEGATIVE,3.8,no,yes,yes,yes,,Table 3;Supplementary Table S4
C5,ROBUSTNESS,3.5,no,yes,yes,yes,,Table 4;Supplementary Table S3
C6,SECONDARY,3.7,no,yes,yes,yes,Figure 4,Table 5
C7,CAVEAT,3.6,no,yes,yes,yes,Supplementary Figure S1,Table 6
C8,CAVEAT,3.4,no,yes,yes,yes,,Supplementary Table S7
C9,EXPLORATORY,3.9,no,yes,no,no,,Supplementary Table S5
C10,SECONDARY,3.3,no,yes,yes,yes,Figure 1,Table 2;Table 3
C11,ROBUSTNESS,3.4,no,yes,yes,yes,Figure 3,Table 3
